2021-04-23 12:59:30,631 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:40,182 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:40,685 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:50,233 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:50,734 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:00,283 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:00,786 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:10,334 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:10,837 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:20,388 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:20,890 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:30,442 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:30,945 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:40,494 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:40,997 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:50,043 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:00:50,546 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:00,095 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:00,598 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:10,146 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:10,650 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:20,200 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:20,702 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:30,386 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:30,890 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:40,439 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:40,941 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:50,490 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:01:50,992 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:00,041 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:00,544 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:10,096 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:10,599 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:20,149 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:20,652 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:30,201 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:30,704 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:40,278 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:40,781 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:50,332 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:02:50,834 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:00,384 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:00,887 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:10,438 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:10,940 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:20,491 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:20,993 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:30,040 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:30,543 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': ''}}
2021-04-23 13:03:40,065 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:40,569 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 13:03:50,096 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
