2021-07-28 14:03:13,074 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 93.9, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 4.9, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 64.3, 'sampling_depth': 2.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 72.7, 'sampling_count': 24.0, 'capicity': 12.1, 'totle_time': 8975, 'runtime': 727, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 28.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:04:14,094 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 93.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 0.1, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 91.5, 'sampling_depth': 0.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 78.8, 'sampling_count': 26.0, 'capicity': 13.1, 'totle_time': 9036, 'runtime': 788, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 23.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:05:14,606 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 92.9, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 4.7, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 10.0, 'sampling_depth': 3.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 84.9, 'sampling_count': 28.0, 'capicity': 14.1, 'totle_time': 9097, 'runtime': 848, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 25.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:06:14,756 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 92.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 5.6, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 3.7, 'sampling_depth': 0.2, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 90.9, 'sampling_count': 30.0, 'capicity': 15.1, 'totle_time': 9156, 'runtime': 909, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 24.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:07:15,511 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 91.9, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 4.4, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 39.6, 'sampling_depth': 4.1, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 96.9, 'sampling_count': 32.0, 'capicity': 16.2, 'totle_time': 9214, 'runtime': 969, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 21.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:08:16,369 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 91.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 3.0, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 59.5, 'sampling_depth': 5.0, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 103.0, 'sampling_count': 34.0, 'capicity': 17.2, 'totle_time': 9274, 'runtime': 1030, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 24.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:09:17,229 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 90.9, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 8.6, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 66.8, 'sampling_depth': 2.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 109.1, 'sampling_count': 36.0, 'capicity': 18.2, 'totle_time': 9335, 'runtime': 1091, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 27.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:10:17,550 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 90.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 5.9, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 25.3, 'sampling_depth': 2.7, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 115.2, 'sampling_count': 38.0, 'capicity': 19.2, 'totle_time': 9395, 'runtime': 1151, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 24.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:11:18,431 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 89.9, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 10.0, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 0.1, 'sampling_depth': 3.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 121.2, 'sampling_count': 40.0, 'capicity': 20.2, 'totle_time': 9456, 'runtime': 1212, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 26.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:12:19,488 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 89.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 7.2, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 31.7, 'sampling_depth': 0.9, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 127.3, 'sampling_count': 42.0, 'capicity': 21.2, 'totle_time': 9517, 'runtime': 1273, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 23.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:13:24,746 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.5, 'current_lng_lat': [114.523792, 30.506198], 'liquid_level': 5.9, 'b_leakage': False, 'direction': 157, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 70.1, 'sampling_depth': 4.7, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 6.0, 'sampling_count': 2.0, 'capicity': 1.0, 'totle_time': 9582, 'runtime': 60, 'totle_distance': 2301.2, 'run_distance': 81.3, 'mapId': '1397858718729355265', 'ping': 23.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:14:25,373 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 4.0, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 62.5, 'sampling_depth': 0.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 12.1, 'sampling_count': 4.0, 'capicity': 2.0, 'totle_time': 9642, 'runtime': 121, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 29.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:15:25,675 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 4.5, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 60.1, 'sampling_depth': 1.2, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 18.1, 'sampling_count': 6.0, 'capicity': 3.0, 'totle_time': 9701, 'runtime': 181, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 25.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:16:25,676 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 8.8, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 91.1, 'sampling_depth': 2.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 24.1, 'sampling_count': 8.0, 'capicity': 4.0, 'totle_time': 9760, 'runtime': 241, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 24.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:17:26,411 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 2.5, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 43.5, 'sampling_depth': 0.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 30.2, 'sampling_count': 10.0, 'capicity': 5.0, 'totle_time': 9821, 'runtime': 302, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 24.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:18:26,500 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 5.6, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 51.4, 'sampling_depth': 0.3, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 36.2, 'sampling_count': 12.0, 'capicity': 6.0, 'totle_time': 9878, 'runtime': 362, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 25.2, 'home_lng_lat': [114.524096, 30.506853]}}
