2021-05-22 10:25:30,669 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-05-22 10:25:40,010 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-05-22 10:25:43,677 data_manager.py[line:1235] INFO {'base_setting': {'speed_grade': 3, 'arrive_range': 2.5, 'keep_point': 5, 'secure_distance': 15, 'row': 50, 'col': 50, 'pool_name': '梁子湖', 'video_url': 'http://123.32132.321321.213', 'info_type': 3}}
2021-05-22 10:25:50,019 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-05-22 10:26:00,030 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-05-22 10:26:10,042 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-05-22 10:26:20,086 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-05-22 10:26:20,192 data_manager.py[line:949] INFO {'点击地点': [[114.5236, 30.506186]]}
2021-05-22 10:26:20,192 data_manager.py[line:974] INFO {'全部距离': 88.08350711195611}
2021-05-22 10:26:30,106 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 81.1', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -0.3, 'mapId': '1354291518018142209'}}
2021-05-22 10:26:40,128 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 81.1', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -0.3, 'mapId': '1354291518018142209'}}
2021-05-22 10:26:50,150 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 81.1', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -0.3, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:00,172 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 81.1', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -0.3, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:04,300 data_manager.py[line:949] INFO {'点击地点': [[114.523429, 30.505724], [114.523772, 30.505279], [114.524567, 30.505566]]}
2021-05-22 10:27:04,300 data_manager.py[line:974] INFO {'全部距离': 196.4703096747969}
2021-05-22 10:27:10,198 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '73.89 s 81.1', 'path_info': '当前目标点:2 目标点总数: 3', 'control_info': '', 'draw_info': 0, 'theta_error': 74.3, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:20,219 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:30,243 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:40,266 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:27:50,292 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:28:00,316 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:28:10,340 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:28:20,364 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
2021-05-22 10:28:30,383 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': ''}}
2021-05-22 10:28:40,393 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': ''}}
2021-05-22 10:28:50,409 data_manager.py[line:1371] INFO {'notice_info_': {'distance': '0 s 97.8', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 2.65, 'mapId': '1354291518018142209'}}
