2021-05-24 14:27:34,900 data_manager.py[line:964] INFO {'全部距离': 2356.6841126782288}
2021-05-24 14:27:40,752 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:27:50,774 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:00,796 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:10,825 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:20,846 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:30,869 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:40,891 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:28:50,913 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:00,935 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:10,957 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:20,741 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:30,764 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:40,786 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:29:50,807 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:00,319 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:10,348 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:20,369 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:30,390 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:40,410 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:30:50,431 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:31:00,457 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.19, 'mapId': '1354291518018142209'}}
2021-05-24 14:31:02,474 data_manager.py[line:964] INFO {'全部距离': 2420.984352431233}
2021-05-24 14:31:10,497 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '147.83 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.89, 'mapId': '1354291518018142209'}}
2021-05-24 14:31:20,530 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '148.22 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.64, 'mapId': '1354291518018142209'}}
2021-05-24 14:31:30,572 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '139.78 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.05, 'mapId': ''}}
2021-05-24 14:31:40,585 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '209.31 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.09, 'mapId': ''}}
2021-05-24 14:31:50,598 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '214.08 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.04, 'mapId': ''}}
2021-05-24 14:32:00,608 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '199.39 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.03, 'mapId': ''}}
2021-05-24 14:32:10,619 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '207.86 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.02, 'mapId': ''}}
