2022-06-09 13:39:40,443 data_manager.py[line:2360] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524072, 30.506143]', 'gjwd': '[114.524062, 30.506164]', 'planId': '1534772051843194882'}}
2022-06-09 13:39:59,823 data_manager.py[line:2360] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524164, 30.505979]', 'gjwd': '[114.524164, 30.505979]', 'planId': '1534772051843194882'}}
2022-06-09 13:40:20,733 data_manager.py[line:2360] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524373, 30.505814]', 'gjwd': '[114.524364, 30.505829]', 'planId': '1534772051843194882'}}
2022-06-09 13:40:39,995 data_manager.py[line:2360] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524456, 30.505677]', 'gjwd': '[114.524456, 30.505677]', 'planId': ''}}
2022-06-09 14:01:56,997 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524372, 30.505821]', 'gjwd': '[114.524358, 30.505852]', 'planId': '1534773508390756353'}}
2022-06-09 14:02:16,167 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524456, 30.505677]', 'gjwd': '[114.524456, 30.505677]', 'planId': ''}}
2022-06-09 14:14:27,602 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524072, 30.506143]', 'gjwd': '[114.524066, 30.506153]', 'planId': '1534780809377980418'}}
2022-06-09 14:14:47,175 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524172, 30.505972]', 'gjwd': '[114.524165, 30.50598]', 'planId': '1534780809377980418'}}
2022-06-09 14:15:07,444 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.52435, 30.505843]', 'gjwd': '[114.524346, 30.505847]', 'planId': '1534780809377980418'}}
2022-06-09 14:15:27,590 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524457, 30.505675]', 'gjwd': '[114.524457, 30.505675]', 'planId': ''}}
2022-06-09 14:30:26,913 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524072, 30.506143]', 'gjwd': '[114.52406, 30.506169]', 'planId': '1534784829970685954'}}
2022-06-09 14:30:47,254 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524189, 30.505956]', 'gjwd': '[114.524189, 30.505956]', 'planId': '1534784829970685954'}}
